Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,MntTotal,MntRegularProds
"$58,607",0,1,63,$867,$0,$86,$0,$0,$19,3,2,3,9,8,0,0,71,$953,$934
"$65,324",0,1,0,$384,$0,$102,$21,$32,$5,3,6,2,9,4,0,0,66,$539,$534
"$40,689",0,1,69,$270,$3,$27,$39,$6,$99,7,7,1,5,8,0,0,69,$345,$246
"$18,589",0,0,89,$6,$4,$25,$15,$12,$13,2,2,1,3,7,0,0,51,$62,$49
"$53,359",1,1,4,$173,$4,$30,$3,$6,$41,4,5,1,4,7,0,0,44,$216,$175
"$38,360",1,0,26,$36,$2,$42,$20,$21,$10,2,2,1,4,3,0,0,31,$121,$111
"$84,618",0,0,96,$684,$100,$801,$21,$66,$0,1,6,9,10,2,0,0,55,"$1,672","$1,672"
"$10,979",0,0,34,$8,$4,$10,$2,$2,$4,2,3,0,3,5,0,0,31,$26,$22
"$38,620",0,0,56,$112,$17,$44,$34,$22,$89,1,2,5,3,3,0,0,57,$229,$140
"$40,548",0,1,31,$110,$0,$5,$2,$0,$3,2,2,1,4,5,0,0,50,$117,$114
"$46,610",0,2,8,$96,$12,$96,$33,$22,$43,6,4,1,6,6,0,1,68,$259,$216
"$68,657",0,0,4,$482,$34,$471,$119,$68,$22,1,3,5,9,7,0,0,74,"$1,174","$1,152"
"$49,389",1,1,55,$40,$0,$19,$2,$1,$3,1,2,0,3,7,0,0,69,$62,$59
"$67,353",0,1,37,$702,$17,$151,$0,$8,$35,5,5,6,12,2,0,0,50,$878,$843
"$23,718",1,0,76,$6,$3,$14,$15,$7,$36,3,3,1,2,7,0,0,44,$45,$9
"$42,429",0,1,99,$55,$0,$6,$2,$0,$4,2,1,1,3,5,0,0,47,$63,$59
"$48,948",0,0,53,$437,$8,$206,$160,$49,$42,2,7,10,5,6,0,1,77,$860,$818
"$80,011",0,1,3,$421,$76,$536,$82,$178,$102,2,8,6,5,4,0,0,40,"$1,293","$1,191"
"$20,559",1,0,88,$13,$1,$29,$3,$0,$7,2,2,0,3,8,0,0,35,$46,$39
"$21,994",0,1,4,$9,$0,$6,$3,$1,$3,1,0,0,3,5,0,0,63,$19,$16
"$7,500",1,0,19,$3,$1,$10,$3,$2,$12,3,2,0,3,5,0,0,45,$19,$7
"$79,941",0,0,72,$123,$164,$266,$227,$30,$174,1,2,4,9,1,0,0,44,$810,$636
"$7,500",0,0,24,$3,$18,$14,$15,$22,$50,3,3,1,3,9,0,1,24,$72,$22
"$41,728",1,0,92,$13,$6,$15,$3,$5,$13,1,2,0,2,10,0,0,52,$42,$29
"$72,550",1,1,39,$826,$50,$317,$50,$38,$38,9,5,2,12,8,0,0,66,"$1,281","$1,243"
"$65,486",0,1,29,$245,$19,$125,$37,$67,$14,1,4,2,10,2,0,0,63,$493,$479
"$79,143",0,0,2,$650,$37,$780,$27,$167,$32,1,6,9,13,3,0,0,56,"$1,661","$1,629"
"$35,790",1,0,54,$12,$6,$20,$30,$1,$3,2,2,0,3,7,0,0,43,$69,$66
"$82,582",0,0,54,$510,$120,$550,$156,$40,$241,1,4,9,7,1,0,1,43,"$1,376","$1,135"
"$66,373",1,1,57,$328,$9,$124,$12,$24,$109,7,4,2,10,3,0,0,42,$497,$388
"$82,384",0,0,55,$984,$51,$432,$180,$120,$190,1,3,10,13,1,0,1,65,"$1,767","$1,577"
"$70,287",0,0,30,$295,$35,$482,$121,$120,$40,1,5,5,10,3,0,1,54,"$1,053","$1,013"
"$27,938",1,0,31,$13,$0,$8,$2,$1,$5,1,1,0,4,3,0,0,32,$24,$19
"$55,954",0,1,63,$447,$0,$28,$0,$0,$43,3,8,2,6,7,0,0,52,$475,$432
"$75,777",0,0,12,$712,$26,$538,$69,$13,$80,1,3,6,11,1,0,1,38,"$1,358","$1,278"
"$66,653",1,1,18,$452,$18,$102,$16,$18,$6,4,4,2,12,3,0,0,45,$606,$600
"$61,823",0,1,26,$523,$7,$134,$37,$14,$169,4,8,2,10,7,0,0,68,$715,$546
"$67,680",0,1,8,$546,$0,$48,$0,$6,$6,1,7,3,8,5,0,0,69,$600,$594
"$70,666",0,0,29,$398,$40,$367,$119,$122,$30,1,7,4,4,4,0,0,72,"$1,046","$1,016"
"$25,721",1,0,75,$1,$3,$6,$3,$6,$15,1,1,1,2,7,0,1,49,$19,$4
"$32,474",1,1,0,$10,$0,$1,$0,$0,$0,1,1,0,2,7,0,0,53,$11,$11
"$88,194",0,1,19,$688,$14,$309,$201,$24,$38,1,11,10,10,5,0,1,41,"$1,236","$1,198"
"$69,096",0,1,4,$247,$49,$159,$7,$82,$109,1,5,2,10,4,0,0,62,$544,$435
"$74,854",1,2,90,$856,$59,$487,$58,$29,$73,7,2,5,5,5,0,0,50,"$1,489","$1,416"
"$66,991",0,0,1,$496,$36,$460,$189,$60,$12,3,4,8,6,3,0,0,66,"$1,241","$1,229"
"$65,031",0,1,29,$258,$107,$291,$84,$37,$86,4,10,3,13,7,0,0,61,$777,$691
"$60,631",1,1,88,$565,$6,$65,$0,$6,$19,5,9,2,8,7,0,0,45,$642,$623
"$28,332",0,0,58,$14,$10,$13,$4,$15,$9,1,2,1,4,2,0,0,68,$56,$47
"$40,246",1,0,68,$2,$1,$6,$2,$1,$1,1,1,0,2,6,0,0,43,$12,$11
"$75,251",0,0,34,$721,$111,$925,$97,$18,$18,1,7,6,5,5,0,1,48,"$1,872","$1,854"
"$75,825",0,0,40,"$1,032",$105,$779,$137,$105,$51,0,5,8,9,4,0,1,44,"$2,158","$2,107"
"$26,326",0,0,12,$1,$0,$5,$0,$3,$9,1,0,0,3,3,1,0,44,$9,$0
"$56,046",0,0,9,$577,$0,$64,$0,$0,$51,2,10,1,8,8,0,1,55,$641,$590
"$29,760",1,0,87,$64,$4,$68,$7,$5,$17,4,3,1,4,8,0,0,35,$148,$131
"$26,304",1,0,5,$4,$1,$5,$2,$0,$4,1,1,0,2,7,0,0,51,$12,$8
"$23,559",1,0,87,$25,$5,$19,$7,$0,$23,3,3,0,3,7,0,0,47,$56,$33
"$38,620",0,0,56,$112,$17,$44,$34,$22,$89,1,2,5,3,3,0,0,57,$229,$140
"$81,361",0,0,18,$163,$23,$424,$27,$65,$76,1,3,10,13,1,0,0,33,$702,$626
"$29,440",1,1,95,$17,$8,$14,$10,$4,$3,2,1,0,4,7,0,0,60,$53,$50
"$36,138",1,1,48,$130,$0,$16,$0,$0,$5,5,3,1,4,7,0,0,50,$146,$141
"$50,388",0,1,3,$292,$6,$37,$0,$3,$34,4,6,1,6,7,0,1,63,$338,$304
"$79,593",0,0,70,$350,$60,$568,$110,$133,$145,1,5,6,7,2,0,0,47,"$1,221","$1,076"
"$54,178",0,1,79,$135,$9,$39,$4,$0,$7,1,2,2,5,2,0,0,53,$187,$180
"$42,394",1,0,69,$15,$2,$10,$0,$1,$4,1,1,0,3,7,0,0,48,$28,$24
"$23,626",1,0,84,$27,$2,$14,$0,$0,$0,3,3,1,3,5,0,0,50,$43,$43
"$30,096",1,0,30,$5,$3,$11,$12,$5,$9,1,2,0,3,6,0,0,37,$36,$27
"$47,916",0,1,72,$505,$0,$26,$0,$0,$75,5,7,4,6,6,0,0,60,$531,$456
"$51,813",1,1,37,$51,$2,$7,$0,$1,$2,2,2,0,3,7,0,0,48,$61,$59
"$78,497",0,0,44,$207,$26,$447,$75,$0,$223,1,5,7,12,2,0,0,69,$755,$532
"$50,150",0,0,32,$135,$46,$92,$65,$61,$11,2,5,2,7,5,0,0,37,$399,$388
"$47,823",0,1,0,$53,$1,$5,$2,$1,$10,2,2,0,3,8,0,0,60,$62,$52
"$34,554",0,1,43,$41,$1,$6,$2,$0,$5,2,2,0,3,6,0,0,61,$50,$45
"$85,693",0,1,59,$386,$172,$183,$185,$132,$111,2,9,5,11,5,0,0,41,"$1,058",$947
"$65,846",0,0,68,$562,$81,$276,$80,$40,$81,1,6,3,6,4,0,0,75,"$1,039",$958
"$87,195",0,0,35,$217,$76,$690,$50,$26,$38,1,3,11,5,1,0,1,61,"$1,059","$1,021"
"$24,594",1,0,94,$1,$3,$6,$10,$0,$9,1,1,0,3,5,0,0,41,$20,$11
"$49,096",1,1,15,$144,$1,$32,$2,$1,$7,4,4,1,4,7,0,0,56,$180,$173
"$52,413",0,2,56,$295,$106,$271,$75,$98,$65,4,6,4,12,6,0,0,51,$845,$780
"$38,557",1,0,17,$76,$3,$31,$4,$4,$27,2,3,1,3,7,0,0,42,$118,$91
"$89,058",0,0,18,$454,$194,$106,$31,$22,$43,1,5,4,4,2,0,0,60,$807,$764
"$77,298",0,1,46,$425,$115,$292,$23,$35,$79,1,6,6,11,3,0,0,41,$890,$811
"$68,126",0,0,40,"$1,332",$17,$311,$23,$51,$86,1,7,4,5,9,0,1,29,"$1,734","$1,648"
"$57,288",0,1,27,$527,$0,$21,$0,$0,$60,3,8,1,8,6,0,0,57,$548,$488
"$86,037",0,0,95,$490,$44,$125,$29,$20,$22,1,6,7,11,3,0,1,29,$708,$686
"$43,974",1,0,19,$378,$0,$101,$0,$0,$72,5,6,4,6,7,0,0,40,$479,$407
"$50,785",1,1,27,$64,$1,$21,$0,$1,$27,2,2,1,3,6,0,0,58,$87,$60
"$90,765",0,0,25,$547,$99,$812,$151,$82,$33,0,4,6,5,1,0,0,50,"$1,691","$1,658"
"$36,550",1,0,74,$47,$90,$94,$123,$103,$120,5,9,1,5,9,0,0,42,$457,$337
"$30,753",1,1,85,$12,$5,$25,$0,$9,$30,2,1,1,3,5,0,0,53,$51,$21
"$21,918",1,0,37,$1,$6,$7,$11,$5,$3,2,2,0,3,6,0,0,51,$30,$27
"$56,129",0,1,65,$320,$48,$133,$39,$72,$48,4,6,2,10,4,0,0,67,$612,$564
"$32,557",1,0,13,$34,$3,$29,$0,$4,$10,3,2,1,3,5,0,1,53,$70,$60
"$19,510",2,0,63,$9,$0,$7,$3,$4,$7,2,1,0,3,7,0,0,35,$23,$16
"$30,992",1,0,83,$17,$0,$14,$7,$3,$2,1,1,0,3,7,0,0,44,$41,$39
"$101,970",0,0,69,$722,$27,$102,$44,$72,$168,0,6,8,13,2,0,1,37,$967,$799
"$71,488",0,0,87,$162,$33,$124,$40,$28,$172,2,3,4,7,1,0,0,55,$387,$215
"$79,607",0,0,37,$450,$133,$951,$173,$0,$216,1,3,6,6,1,0,1,36,"$1,707","$1,491"
"$54,348",1,1,51,$70,$0,$16,$0,$0,$4,2,2,0,4,6,0,0,67,$86,$82
"$77,376",1,1,72,$492,$19,$110,$16,$12,$12,4,6,3,10,4,0,0,64,$649,$637
"$62,998",0,1,10,$120,$58,$73,$65,$89,$58,5,5,4,5,5,0,0,68,$405,$347
"$61,331",1,1,42,$534,$5,$47,$0,$5,$41,5,11,1,6,8,0,0,62,$591,$550
"$73,448",0,0,10,$236,$106,$189,$23,$41,$130,1,7,2,9,4,0,0,51,$595,$465
"$41,551",1,1,51,$220,$0,$33,$3,$0,$23,5,5,1,5,8,0,0,56,$256,$233
"$62,981",0,0,21,$796,$14,$590,$38,$44,$0,1,4,5,13,3,0,0,53,"$1,482","$1,482"
"$9,548",1,0,31,$0,$1,$3,$10,$6,$9,2,1,0,3,8,0,0,44,$20,$11
"$33,762",2,1,61,$53,$1,$34,$2,$0,$16,3,2,2,2,8,0,0,61,$90,$74
"$35,860",1,1,37,$15,$0,$8,$4,$2,$20,2,1,1,2,5,0,1,47,$29,$9
"$36,921",1,1,74,$17,$1,$12,$3,$1,$4,2,2,0,3,7,0,0,55,$34,$30
"$92,859",0,0,46,$962,$61,$921,$52,$61,$20,1,5,4,12,2,0,0,28,"$2,057","$2,037"
"$65,104",0,1,4,$738,$0,$232,$13,$20,$50,2,3,5,7,7,0,1,44,"$1,003",$953
"$86,111",0,0,73,$399,$28,$756,$36,$40,$126,1,5,7,10,2,0,0,58,"$1,259","$1,133"
"$68,352",0,1,47,$614,$16,$132,$43,$33,$33,3,8,5,9,6,0,0,46,$838,$805
"$41,883",1,0,13,$32,$34,$41,$73,$16,$116,3,4,2,3,7,0,0,32,$196,$80
"$59,809",0,2,36,$598,$16,$141,$32,$41,$49,3,3,3,6,8,0,0,44,$828,$779
"$23,957",1,0,47,$2,$1,$18,$20,$11,$16,1,2,0,3,6,0,1,45,$52,$36
"$38,547",1,0,49,$6,$1,$10,$0,$1,$4,1,1,0,2,8,1,0,39,$18,$14
"$35,688",2,1,94,$73,$3,$90,$12,$1,$32,7,4,1,4,8,0,0,47,$179,$147
"$49,605",0,0,65,$42,$16,$29,$12,$20,$8,1,2,1,4,3,0,0,54,$119,$111
"$59,354",0,2,59,$295,$21,$78,$39,$13,$13,1,4,4,7,3,0,0,67,$446,$433
"$65,747",0,1,96,$346,$17,$48,$23,$13,$13,4,8,1,6,6,0,0,51,$447,$434
"$46,344",0,1,28,$233,$20,$57,$8,$20,$91,4,7,1,5,7,0,0,48,$338,$247
"$34,176",1,0,12,$5,$7,$24,$19,$14,$20,4,3,0,4,6,0,0,32,$69,$49
"$61,010",0,1,57,$888,$0,$57,$0,$0,$76,2,8,5,11,5,0,0,68,$945,$869
"$69,372",0,0,10,$997,$26,$269,$34,$13,$42,1,10,4,6,4,0,1,71,"$1,339","$1,297"
"$49,967",0,1,4,$212,$6,$69,$4,$12,$3,3,6,1,5,7,0,0,62,$303,$300
"$60,199",1,2,49,$8,$1,$7,$2,$0,$0,1,0,0,3,4,0,0,42,$18,$18
"$55,375",0,1,3,$42,$11,$57,$10,$28,$14,1,1,1,6,2,0,0,43,$148,$134
"$80,317",0,0,64,$536,$11,$387,$149,$91,$57,1,3,4,10,1,0,0,65,"$1,174","$1,117"
"$30,523",2,1,0,$5,$0,$3,$0,$0,$5,1,1,0,2,7,0,0,62,$8,$3
"$70,356",0,0,20,"$1,349",$16,$249,$43,$16,$33,2,10,6,9,6,0,0,75,"$1,673","$1,640"
"$23,228",1,0,91,$53,$3,$49,$7,$4,$5,4,3,0,4,8,0,0,36,$116,$111
"$74,165",0,0,9,"$1,001",$12,$240,$16,$12,$12,1,5,4,10,2,0,0,45,"$1,281","$1,269"
"$43,482",2,1,83,$18,$1,$32,$6,$3,$28,3,2,0,4,6,0,0,54,$60,$32
"$62,551",0,0,27,$125,$16,$98,$134,$21,$27,1,6,7,4,3,0,0,67,$394,$367
"$52,332",0,0,63,$212,$5,$33,$7,$0,$2,1,3,2,6,4,0,0,61,$257,$255
"$66,951",0,0,46,$277,$162,$305,$173,$76,$124,1,3,4,7,1,0,0,32,$993,$869
"$26,091",1,1,84,$15,$10,$19,$8,$17,$20,3,2,1,3,5,0,0,63,$69,$49
"$33,456",1,1,58,$7,$3,$10,$8,$1,$7,2,1,0,3,7,0,0,55,$29,$22
"$28,718",1,0,78,$12,$4,$6,$11,$8,$16,2,2,0,3,8,0,0,38,$41,$25
"$50,447",2,0,4,$85,$7,$24,$2,$3,$27,1,3,1,3,6,0,0,50,$121,$94
"$53,537",1,1,17,$81,$0,$6,$0,$0,$6,2,2,1,3,5,0,0,61,$87,$81
"$52,074",0,1,77,$59,$0,$12,$0,$0,$48,1,2,2,2,4,0,0,53,$71,$23
"$80,427",0,1,56,"$1,149",$71,$449,$69,$71,$26,1,11,8,8,5,0,0,45,"$1,809","$1,783"
"$83,837",0,0,79,$847,$66,$119,$86,$89,$111,1,9,10,5,4,0,1,72,"$1,207","$1,096"
"$38,853",1,1,90,$29,$0,$14,$0,$0,$2,2,2,0,3,7,0,0,50,$43,$41
"$38,285",2,1,96,$2,$0,$5,$2,$0,$1,1,0,0,3,2,0,0,61,$9,$8
"$78,497",0,0,44,$207,$26,$447,$75,$0,$223,1,5,7,12,2,0,0,69,$755,$532
"$51,650",0,1,81,$152,$3,$22,$2,$5,$7,1,4,1,4,5,0,0,44,$184,$177
"$16,248",1,0,77,$12,$11,$10,$3,$12,$9,3,2,1,3,6,0,0,32,$48,$39
"$66,835",0,0,21,$620,$26,$195,$34,$17,$141,1,6,4,13,2,0,0,74,$892,$751
"$30,477",1,0,16,$47,$1,$6,$0,$0,$12,1,1,1,3,6,0,0,36,$54,$42
"$28,249",0,0,80,$1,$9,$7,$2,$14,$10,1,2,0,3,6,0,0,59,$33,$23
"$25,271",1,0,45,$10,$1,$18,$10,$4,$7,1,1,1,2,9,0,0,37,$43,$36
"$32,303",0,1,63,$35,$0,$2,$0,$0,$2,2,1,0,4,5,0,0,50,$37,$35
"$61,286",0,1,34,$356,$0,$107,$19,$9,$117,2,7,1,8,5,0,0,54,$491,$374
"$74,068",0,0,14,$783,$30,$537,$140,$76,$15,1,4,10,9,2,0,0,44,"$1,566","$1,551"
"$45,759",1,1,13,$42,$1,$18,$3,$0,$4,2,2,0,3,7,0,0,56,$64,$60
"$24,882",1,0,52,$1,$4,$10,$29,$0,$36,1,1,1,2,6,0,0,42,$44,$8
"$66,973",0,0,98,$466,$22,$432,$147,$113,$102,1,8,7,12,3,0,0,31,"$1,180","$1,078"
"$38,872",1,0,93,$23,$3,$21,$3,$19,$22,2,3,0,3,8,0,0,32,$69,$47
"$51,148",1,1,38,$235,$6,$45,$8,$9,$12,4,5,1,6,6,0,0,47,$303,$291
"$31,353",1,1,24,$10,$0,$10,$3,$1,$7,2,1,1,2,8,0,0,43,$24,$17
"$69,661",0,0,80,$656,$16,$106,$32,$16,$8,1,7,3,12,3,0,0,40,$826,$818
"$80,067",0,0,82,$519,$17,$813,$27,$173,$51,1,4,6,6,2,0,0,66,"$1,549","$1,498"
"$86,718",0,0,20,$344,$189,$482,$50,$33,$172,1,5,6,5,2,0,0,66,"$1,098",$926
"$46,854",1,1,81,$96,$1,$79,$7,$1,$79,6,5,1,3,8,0,1,47,$184,$105
"$69,142",0,1,50,$448,$4,$34,$6,$4,$39,3,8,1,7,5,0,0,68,$496,$457
"$75,922",0,0,60,$265,$138,$553,$224,$23,$92,1,4,4,9,1,0,0,52,"$1,203","$1,111"
"$63,693",0,1,63,$587,$43,$337,$42,$87,$54,3,11,6,9,6,0,0,42,"$1,096","$1,042"
"$102,160",0,0,54,$763,$29,$138,$76,$176,$58,0,7,9,10,4,0,1,43,"$1,182","$1,124"
"$40,637",1,1,72,$22,$0,$13,$0,$0,$3,2,1,0,3,7,0,0,55,$35,$32
"$18,890",0,0,5,$6,$4,$1,$7,$2,$15,1,0,1,2,6,0,1,36,$20,$5
"$29,604",1,0,88,$7,$6,$13,$7,$6,$14,1,1,0,3,9,0,0,32,$39,$25
"$48,721",1,1,50,$81,$18,$113,$47,$13,$21,6,4,2,5,6,0,0,57,$272,$251
"$44,794",0,1,99,$54,$0,$7,$0,$0,$4,1,2,0,3,6,0,0,54,$61,$57
"$64,497",0,1,17,"$1,170",$48,$320,$42,$32,$192,5,11,4,9,8,0,1,66,"$1,612","$1,420"
"$46,097",0,1,11,$72,$24,$68,$65,$4,$8,5,3,1,6,4,0,0,64,$233,$225
"$77,972",0,0,18,$613,$22,$319,$33,$102,$12,1,4,6,9,1,0,0,66,"$1,089","$1,077"
"$44,377",1,1,70,$224,$0,$30,$0,$0,$10,8,5,1,5,8,0,0,52,$254,$244
"$46,014",1,1,21,$410,$0,$59,$19,$9,$44,10,7,1,8,7,0,0,46,$497,$453
"$70,951",0,0,66,$239,$10,$554,$254,$87,$54,1,3,4,9,1,0,0,35,"$1,144","$1,090"
"$41,443",1,0,79,$171,$7,$171,$25,$19,$89,6,8,1,5,8,0,0,43,$393,$304
"$52,195",2,1,2,$12,$0,$4,$0,$0,$1,1,1,0,2,8,0,0,42,$16,$15
"$83,790",0,0,81,"$1,076",$16,$417,$42,$48,$16,1,8,10,6,3,0,0,72,"$1,599","$1,583"
"$44,551",0,1,24,$182,$4,$33,$0,$0,$66,2,4,1,5,7,0,0,66,$219,$153
"$69,508",1,0,48,$824,$32,$162,$42,$32,$43,2,11,4,11,6,0,0,40,"$1,092","$1,049"
"$45,204",1,0,93,$30,$11,$25,$29,$1,$18,1,1,1,4,3,0,0,32,$96,$78
"$72,460",0,0,56,$377,$10,$540,$80,$30,$10,1,3,5,7,1,0,0,51,"$1,037","$1,027"
"$77,622",0,2,3,$520,$7,$154,$19,$0,$14,2,6,3,11,3,0,0,50,$700,$686
"$30,732",1,0,44,$155,$1,$25,$0,$1,$3,4,4,1,4,8,0,0,40,$182,$179
"$63,887",0,1,38,$897,$23,$207,$15,$11,$92,5,9,6,12,6,0,0,58,"$1,153","$1,061"
"$42,011",1,0,46,$131,$0,$16,$2,$1,$39,4,3,1,4,8,0,0,42,$150,$111
"$51,369",0,1,84,$297,$7,$79,$0,$11,$182,2,8,2,4,8,0,0,44,$394,$212
"$51,537",0,1,27,$787,$20,$204,$0,$0,$92,3,2,2,11,8,0,0,68,"$1,011",$919
"$79,930",0,0,72,$792,$86,$740,$67,$51,$17,1,3,5,8,2,0,0,48,"$1,736","$1,719"
"$34,320",1,0,66,$4,$1,$9,$3,$0,$0,1,1,0,2,8,0,0,34,$17,$17
"$37,070",1,1,30,$231,$7,$137,$4,$15,$39,9,5,1,8,7,0,1,54,$394,$355
"$81,975",0,1,2,$983,$76,$184,$180,$138,$27,1,6,3,4,7,0,0,58,"$1,561","$1,534"
"$38,590",1,0,65,$3,$1,$8,$4,$3,$3,1,1,0,2,8,0,0,49,$19,$16
"$15,033",0,0,37,$0,$4,$5,$6,$0,$4,1,1,0,3,3,0,0,69,$15,$11
"$62,745",0,1,89,$562,$21,$464,$28,$10,$32,3,7,8,11,5,0,0,55,"$1,085","$1,053"
"$22,212",1,0,49,$5,$9,$20,$6,$8,$21,2,2,0,4,6,0,0,45,$48,$27
"$23,661",1,0,46,$18,$0,$4,$0,$0,$1,1,1,0,3,7,0,0,38,$22,$21
"$79,761",0,1,32,$415,$5,$124,$15,$35,$11,1,5,2,11,3,0,0,62,$594,$583
"$7,500",1,0,54,$5,$3,$10,$12,$7,$20,4,3,1,3,7,0,0,47,$37,$17
"$73,455",0,0,98,$901,$61,$757,$186,$163,$20,1,6,5,10,3,0,0,52,"$2,068","$2,048"
"$64,961",0,1,97,$382,$114,$276,$75,$124,$38,2,6,4,4,3,0,0,62,$971,$933
"$22,804",1,0,75,$14,$1,$7,$2,$1,$1,1,2,0,2,9,0,0,49,$25,$24
"$73,687",0,0,8,$559,$153,$503,$218,$13,$181,1,3,9,9,2,0,1,30,"$1,446","$1,265"
"$61,074",0,1,37,$789,$0,$133,$0,$28,$152,7,11,5,8,7,0,0,62,$950,$798
"$31,686",1,1,31,$11,$0,$5,$0,$0,$1,2,1,0,3,6,0,0,56,$16,$15
"$80,134",1,0,40,"$1,218",$16,$272,$104,$0,$80,2,5,3,6,6,0,1,48,"$1,610","$1,530"
"$75,027",0,1,74,$925,$64,$179,$133,$12,$77,2,9,4,6,5,0,0,67,"$1,313","$1,236"
"$67,546",0,0,90,$864,$134,$768,$150,$38,$172,1,4,10,5,3,0,0,32,"$1,954","$1,782"
"$65,176",0,1,57,$960,$28,$183,$220,$70,$70,4,9,6,6,6,0,0,51,"$1,461","$1,391"
"$31,160",1,0,59,$16,$3,$25,$6,$1,$13,2,2,0,3,8,0,0,45,$51,$38
"$29,938",1,0,52,$3,$3,$7,$0,$2,$11,2,1,0,3,6,0,0,35,$15,$4
"$102,692",0,0,5,$168,$148,$444,$32,$172,$148,1,6,9,13,2,0,1,46,$964,$816
"$26,490",0,0,92,$45,$47,$52,$21,$20,$25,2,3,1,5,6,0,0,62,$185,$160
"$75,702",1,1,77,$650,$28,$353,$45,$42,$30,5,4,6,11,8,0,0,53,"$1,118","$1,088"
"$30,899",1,0,35,$24,$0,$8,$0,$0,$1,2,1,0,3,6,0,0,46,$32,$31
"$63,342",0,1,48,$918,$21,$118,$13,$10,$21,3,8,3,5,6,0,0,59,"$1,080","$1,059"
"$45,989",0,1,97,$138,$33,$87,$28,$24,$12,4,3,2,7,3,0,0,56,$310,$298
"$18,701",1,1,95,$12,$4,$2,$10,$6,$10,4,2,0,4,5,0,0,56,$34,$24
"$40,737",2,1,24,$11,$0,$4,$0,$0,$2,1,1,0,2,8,0,0,63,$15,$13
"$15,287",1,0,60,$1,$2,$8,$4,$3,$13,2,1,1,2,7,0,1,41,$18,$5
"$69,674",0,2,46,$554,$41,$215,$11,$0,$24,3,10,2,10,5,0,0,52,$821,$797
"$44,159",1,0,85,$167,$2,$62,$24,$13,$7,4,4,1,6,5,0,0,50,$268,$261
"$37,717",1,0,31,$9,$0,$6,$4,$1,$5,1,1,0,2,9,0,0,42,$20,$15
"$43,776",1,1,9,$177,$2,$71,$3,$2,$20,6,5,2,4,8,0,1,68,$255,$235
"$38,179",1,1,30,$38,$4,$22,$4,$2,$20,4,3,1,3,7,0,0,54,$70,$50
"$80,124",0,0,47,$483,$84,$398,$205,$84,$241,1,3,7,8,1,0,0,57,"$1,254","$1,013"
"$38,097",1,1,70,$77,$2,$35,$0,$1,$69,4,3,2,2,7,0,1,50,$115,$46
"$72,940",0,0,13,$182,$74,$298,$162,$149,$116,1,3,3,6,1,0,0,50,$865,$749
"$22,070",1,0,11,$10,$7,$19,$8,$2,$21,2,2,2,2,6,0,0,50,$46,$25
